ensayo,evento,clustering,density,modularity,hub_node,hub_betweenness,n_communities,threshold,consenso
R03,T1,0.7339995596880002,0.4126984126984127,0.2328234791050296,34,0.044627730880658675,3,0.66,0.6
R04,T1,0.7257065692628686,0.41964285714285715,0.22455205696114103,34,0.05049376952164125,3,0.62,0.6
