ensayo,evento,clustering,density,modularity,hub_node,hub_betweenness,n_communities,threshold,consenso
R03,T0,0.742975906925662,0.4166666666666667,0.23650510204081635,33,0.04989819945216924,3,0.65,0.6
R04,T0,0.728793573626216,0.40327380952380953,0.2514096727683144,33,0.04657391885281423,3,0.65,0.6
R03,T2,0.7419885147267713,0.4131944444444444,0.2269635345134452,34,0.04430743676956693,3,0.63,0.6
R04,T2,0.7317787084031223,0.4181547619047619,0.23038307237468844,34,0.040845181633873295,3,0.61,0.6
