umbral,porcentaje,densidad,n_componentes,clustering,modularity,n_aristas
0.01,0.5,1.0,1,1.0,0.0,2016
0.02,0.5,1.0,1,1.0,0.0,2016
0.03,0.5,1.0,1,1.0,0.0,2016
0.04,0.5,0.9990079365079365,1,0.9990239375320021,1.1102230246251565e-16,2014
0.05,0.5,0.9905753968253969,1,0.9912744191156909,1.1102230246251565e-16,1997
0.06,0.5,0.9776785714285714,1,0.9804223530539959,0.0,1971
0.07,0.5,0.9573412698412699,1,0.9665348880129028,0.011887433219683774,1930
0.08,0.5,0.9370039682539683,1,0.9525395838271575,0.020440425623143244,1889
0.09,0.5,0.9166666666666666,1,0.9413190015150814,0.028419046682033655,1848
0.1,0.5,0.8968253968253969,1,0.9309328932505352,0.03334598808638106,1808
0.11,0.5,0.8779761904761905,1,0.9209886232759028,0.03632800280889906,1770
0.12,0.5,0.8561507936507936,1,0.9091801194484814,0.03710261168228002,1726
0.13,0.5,0.8343253968253969,1,0.8995687850344266,0.054618850216533454,1682
0.14,0.5,0.8090277777777778,1,0.8878751073687688,0.058552846989336355,1631
0.15,0.5,0.7867063492063492,1,0.8795863335161721,0.07010089067486791,1586
0.16,0.5,0.7638888888888888,1,0.8680694357362402,0.08225333108449995,1540
0.17,0.5,0.7425595238095238,1,0.8585084044506828,0.0918467975809111,1497
0.18,0.5,0.7197420634920635,1,0.8500126481125091,0.09666923308196401,1451
0.19,0.5,0.6989087301587301,1,0.842526885408689,0.10744146546509026,1409
0.2,0.5,0.6815476190476191,1,0.8358366354881303,0.11771085600961079,1374
0.21,0.5,0.6617063492063492,1,0.8287148813205967,0.12350693094232493,1334
0.22,0.5,0.6463293650793651,1,0.8217073158675205,0.13240005206710526,1303
0.23,0.5,0.6195436507936508,1,0.7971468363796638,0.14836496899681473,1249
0.24,0.5,0.5942460317460317,2,0.792733936039598,0.1584677160877478,1198
0.25,0.5,0.5773809523809523,2,0.7883319960197385,0.1655846648008408,1164
0.26,0.5,0.5610119047619048,2,0.78229831719302,0.17046603203193353,1131
0.27,0.5,0.5421626984126984,2,0.7742657805492212,0.17749774201460014,1093
0.28,0.5,0.5257936507936508,2,0.7683233748499154,0.18084416162335346,1060
0.29,0.5,0.5044642857142857,2,0.757820705320051,0.19116900595481534,1017
0.3,0.5,0.4905753968253968,2,0.7511620654696273,0.19823672122365232,989
0.31,0.5,0.4742063492063492,2,0.7472493477460977,0.20485843647695243,956
0.32,0.5,0.4603174603174603,2,0.7410384670865605,0.2027882543103449,928
0.33,0.5,0.4429563492063492,2,0.7343343271692171,0.2067498987396059,893
0.34,0.5,0.42509920634920634,2,0.726009740798516,0.2096136014890074,857
0.35,0.5,0.41021825396825395,2,0.717695088297792,0.21271360038834444,827
