canal,x,y,z
FP1,-0.45,0.8,0.35
FP2,0.45,0.8,0.35
F7,-0.8,0.55,0.1
F8,0.8,0.55,0.1
F3,-0.45,0.55,0.65
F4,0.45,0.55,0.65
C3,-0.55,0.0,0.83
C4,0.55,0.0,0.83
P3,-0.45,-0.55,0.65
P4,0.45,-0.55,0.65
P7,-0.8,-0.55,0.1
P8,0.8,-0.55,0.1
O1,-0.45,-0.8,0.35
O2,0.45,-0.8,0.35
FZ,0.0,0.55,0.83
CZ,0.0,0.0,1.0
PZ,0.0,-0.55,0.83
T7,-0.9,0.0,0.0
T8,0.9,0.0,0.0
FT9,-0.95,0.35,0.0
FT10,0.95,0.35,0.0
